DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION,BUSINESS_NAME,IS_PRIMARY_KEY,IS_FOREIGN_KEY,FOREIGN_KEY_TABLE,FOREIGN_KEY_COLUMN,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_CODE,TEXT,Form type code,Form Type Code,FALSE,TRUE,T_DIM_FORM_TYPE,FORM_TYPE_CODE,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_NAME,TEXT,Form type name,Form Type Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUMBER,TEXT,Sales representative identifier,Sales Rep Number,FALSE,TRUE,T_DIM_SALES_REP,SALES_REP_NUMBER,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NAME,TEXT,Sales representative name,Sales Rep Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUM_NAME,TEXT,Concatenated sales rep number and name,Sales Rep Number Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE,TEXT,Inventory category identifier,Category Code,FALSE,TRUE,T_DIM_INVENTORY_CATEGORY,CATEGORY_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_NAME,TEXT,Inventory category name,Category Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE_NAME,TEXT,Concatenated category code and name,Category Code Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,GROUP_ID,TEXT,Category group identifier,Group ID,FALSE,TRUE,T_DIM_CATEGORY_GROUP,GROUP_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_NAME,TEXT,Category group name,Category Group Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_ID_NAME,TEXT,Concatenated group ID and name,Category Group ID Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID,TEXT,Inventory class identifier,Class ID,FALSE,TRUE,T_DIM_INVENTORY_CLASS,CLASS_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_NAME,TEXT,Inventory class name,Class Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID_NAME,TEXT,Concatenated class ID and name,Class ID Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NUMBER,TEXT,Vendor identifier,Vendor Number,FALSE,TRUE,T_DIM_INVENTORY_VENDOR,VENDOR_NUMBER,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NAME,TEXT,Vendor name,Vendor Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_QUANTITY,NUMBER,Total quantity sold in day,Daily Total Quantity,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_COST,NUMBER,Total cost in day,Daily Total Cost,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_SALE,NUMBER,Total sales amount in day,Daily Total Sale,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_GROSS_PROFIT,NUMBER,Total gross profit in day,Daily Total Gross Profit,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_GROSS_PROFIT_PCT,NUMBER,Gross profit percentage,Daily Gross Profit %,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_QUANTITY,NUMBER,Fee quantity for day,Daily Fee Quantity,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_COST,NUMBER,Fee cost for day,Daily Fee Cost,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_SALE,NUMBER,Fee sales amount for day,Daily Fee Sale,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_GROSS_PROFIT,NUMBER,Fee gross profit,Daily Fee Gross Profit,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_FEE_GROSS_PROFIT_PCT,NUMBER,Fee gross profit percentage,Daily Fee Gross Profit %,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_QUANTITY,NUMBER,Category 88 quantity,Daily Category 88 Quantity,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_COST,NUMBER,Category 88 cost,Daily Category 88 Cost,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_SALE,NUMBER,Category 88 sale,Daily Category 88 Sale,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_GROSS_PROFIT,NUMBER,Category 88 gross profit,Daily Category 88 Gross Profit,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_CAT88_GROSS_PROFIT_PCT,NUMBER,Category 88 gross profit %,Daily Category 88 Gross Profit %,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DT,DATE,Fiscal calendar date of transaction,Transaction Date,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_YEAR,NUMBER,Fiscal year,Transaction Year,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH,NUMBER,Fiscal month number,Transaction Month,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_YEAR_MONTH,TEXT,Fiscal year-month,Transaction Year Month,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_MONTH_NAME,TEXT,Fiscal month name,Transaction Month Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_QUARTER,NUMBER,Fiscal quarter,Transaction Quarter,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_DAY_OF_MONTH,TEXT,Fiscal day of month,Transaction Day of Month,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,TRANSACTION_WEEK_OF_YEAR,TEXT,Fiscal week of year,Transaction Week of Year,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,FORM_TYPE_CODE,TEXT,Form type code,Form Type Code,FALSE,TRUE,T_DIM_FORM_TYPE,FORM_TYPE_CODE,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,POS_PREFIX,TEXT,POS prefix,POS Prefix,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,WORK_ORDER_NUMBER,TEXT,Work order number,Work Order Number,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NUMBER,TEXT,Store identifier,Store Number,FALSE,TRUE,T_DIM_STORE,STORE_NUMBER,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NAME,TEXT,Store name,Store Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_NUM_NAME,TEXT,Concatenated store number and name,Store Number Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_CITY,TEXT,Store city,Store City,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_STATE,TEXT,Store state,Store State,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGION,TEXT,Distribution center region,Region,FALSE,TRUE,T_DIM_DISTRIBUTION_CENTER,DISTRIBUTION_CENTER_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NUMBER,TEXT,Sales representative identifier,Sales Rep Number,FALSE,TRUE,T_DIM_SALES_REP,SALES_REP_NUMBER,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NAME,TEXT,Sales representative name,Sales Rep Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SALES_REP_NUM_NAME,TEXT,Concatenated sales rep number and name,Sales Rep Number Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,STORE_MANAGER_NAME,TEXT,Store manager name,Store Manager Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,AREA_MANAGER_NUMBER,TEXT,Area manager identifier,Area Manager Number,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,AREA_MANAGER_NAME,TEXT,Area manager name,Area Manager Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,AREA_MANAGER_NUM_NAME,TEXT,Concatenated area manager number and name,Area Manager Number Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGIONAL_MANAGER_NUMBER,TEXT,Regional manager identifier,Regional Manager Number,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGIONAL_MANAGER_NAME,TEXT,Regional manager name,Regional Manager Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,REGIONAL_MANAGER_NUM_NAME,TEXT,Concatenated regional manager number and name,Regional Manager Number Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CUSTOMER_ID,TEXT,Customer identifier,Customer ID,FALSE,TRUE,T_DIM_CUSTOMER,CUSTOMER_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CUSTOMER_NAME,TEXT,Customer name,Customer Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,PARENT_CUSTOMER_NAME,TEXT,Parent customer name,Parent Customer Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ACCOUNT_TYPE_NAME,TEXT,Account type name,Account Type Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ACCOUNT_GROUP,TEXT,Derived account group,Account Group,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_CODE,TEXT,Category identifier,Category Code,FALSE,TRUE,T_DIM_INVENTORY_CATEGORY,CATEGORY_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_NAME,TEXT,Category name,Category Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_CODE_NAME,TEXT,Concatenated category code and name,Category Code Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GROUP_ID,TEXT,Category group identifier,Group ID,FALSE,TRUE,T_DIM_CATEGORY_GROUP,GROUP_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_GROUP_NAME,TEXT,Category group name,Category Group Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_GROUP_ID_NAME,TEXT,Concatenated group ID and name,Category Group ID Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CLASS_ID,TEXT,Class identifier,Class ID,FALSE,TRUE,T_DIM_INVENTORY_CLASS,CLASS_ID,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CLASS_NAME,TEXT,Class name,Class Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CLASS_ID_NAME,TEXT,Concatenated class ID and name,Class ID Name,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ITEM_NUMBER,TEXT,Item number,Item Number,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SIZE,TEXT,Item size,Size,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ITEM_DESCRIPTION,TEXT,Item description,Item Description,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,DAILY_SALES,NUMBER,Sales amount for day,Daily Sales,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GROSS_PROFIT,NUMBER,Gross profit amount,Gross Profit,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,QUANTITY,NUMBER,Quantity sold,Quantity,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,COST,NUMBER,Cost amount,Cost,FALSE,FALSE,,,,,,,
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GP_PERCENT,NUMBER,Gross profit percentage,GP %,FALSE,FALSE,,,,,,,
