DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DESCRIPTION
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_NAME,Name of the product category
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_CODE_NAME,Combined category code and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_GROUP_ID,Unique identifier for the category group
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_GROUP_NAME,Name of the category group
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CATEGORY_GROUP_ID_NAME,Combined category group ID and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CLASS_ID,Identifier for the product class
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CLASS_NAME,Name of the product class
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,CLASS_ID_NAME,Combined class ID and name
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ITEM_NUMBER,Unique number identifying the item
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ITEM_DESCRIPTION,Description of the item
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,ITEM_NUM_DESCRIPTION,Combined item number and description
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,SIZE,Size or volume specification of the item
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,DAILY_SALES,Daily sales amount of the item or transaction
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GROSS_PROFIT,Gross profit earned on the transaction
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,QUANTITY,Number of units sold
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,COST,Cost price of the item
REPORTING_UAT.GOLD_SALES,V_SMM_ITEM_DAILY_SALE,GP_PERCENT,Gross profit expressed as a percentage
