DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DESCRIPTION
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUM_NAME,Combined store number and name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CITY,City in which the store is located
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,STATE,State or province of the store location
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,REGION,Geographical region
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_CODE,Code representing the form or document type
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_NAME,Name or description of the form type
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUMBER,Identifier for the sales representative
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NAME,Full name of the sales representative
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUM_NAME,Combined string of sales rep number and name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE,Internal or vendor-specific code for the product category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_NAME,Name of the product category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE_NAME,Combined code and name of the category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,GROUP_ID,Identifier for the category group
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_NAME,Name of the broader group under which categories fall
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_ID_NAME,Combined group ID and group name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID,ID representing a more specific product classification
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_NAME,Name of the product class
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID_NAME,Combined class ID and class name
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NUMBER,Unique number identifying the vendor or supplier
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NAME,Name of the vendor or supplier
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_QUANTITY,Total quantity sold on the transaction date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_COST,Total cost for the quantity sold
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_SALE,Total revenue from sales on that date
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_GROSS_PROFIT,Total gross profit for that day
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_GROSS_PROFIT_PCT,Gross profit percentage for the day
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_QUANTITY,Total quantity sold in the fee category
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_COST,Total cost of fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_SALE,Total sales for fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_GROSS_PROFIT,Gross profit from fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_FEE_GROSS_PROFIT_PCT,Gross profit percentage from fee-based items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_QUANTITY,Quantity sold for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_COST,Total cost for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_SALE,Total sale value for category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_GROSS_PROFIT,Gross profit from category 88 items
REPORTING_UAT.GOLD_SALES,V_SMM_DAILY_SALES,DAILY_CAT88_GROSS_PROFIT_PCT,Gross profit percentage for category 88 items
