timestamp,model,prompt,sql_query,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,query_executed
2025-07-05 15:17:49,gpt-4o,Show me the top 2 stores with highest sales,"SELECT      STORE_NAME,     SUM(DAILY_TOTAL_SALE) AS TOTAL_SALES FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES GROUP BY      STORE_NAME ORDER BY      TOTAL_SALES DESC LIMIT 2;",1566,63,1629,0.01566,0.00189,0.01755,1
2025-07-05 15:18:42,gpt-4o,Show me the top 2 stores with highest sales,"SELECT      STORE_NAME,     SUM(DAILY_TOTAL_SALE) AS TOTAL_SALES FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES GROUP BY      STORE_NAME ORDER BY      TOTAL_SALES DESC LIMIT 2;",1566,63,1629,0.01566,0.00189,0.01755,0
2025-07-05 15:20:34,gpt-4o,Show me the top 2 stores with highest sales,"SELECT      STORE_NAME,     SUM(DAILY_TOTAL_SALE) AS TOTAL_SALES FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES GROUP BY      STORE_NAME ORDER BY      TOTAL_SALES DESC LIMIT 2;",1566,63,1629,0.01566,0.00189,0.01755,0
2025-07-05 15:21:06,models/gemini-1.5-flash-latest,Show me the top 2 stores with highest sales,"SELECT   T1.STORE_NAME,   SUM(T1.DAILY_TOTAL_SALE) AS TotalSales FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES AS T1 GROUP BY   T1.STORE_NAME ORDER BY   TotalSales DESC LIMIT 2;",1705,45,1750,0.05115,0.0027,0.05385,1
2025-07-05 15:21:25,models/gemini-1.5-flash-latest,Show me the top 6 stores with highest sales,"SELECT   t1.STORE_NAME,   SUM(t1.DAILY_TOTAL_SALE::NUMBER) AS TotalSales FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES AS t1 GROUP BY   t1.STORE_NAME ORDER BY   TotalSales DESC LIMIT 6;",1705,47,1752,0.05115,0.00282,0.05397,1
2025-07-05 15:22:15,models/gemini-1.5-flash-latest,Show me the top 6 stores with highest sales in year 2024 ,"SELECT   T1.STORE_NAME,   SUM(T1.DAILY_TOTAL_SALE) AS TotalSales FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES AS T1 WHERE   T1.TRANSACTION_YEAR = '2024' GROUP BY   T1.STORE_NAME ORDER BY   TotalSales DESC LIMIT 6;",1709,54,1763,0.05127,0.00324,0.05451,1
2025-07-05 15:25:24,cluade,Show me the top 6 stores with highest sales in year 2024 ,"Error generating SQL query: Error code: 404 - {'error': {'message': 'The model `cluade` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",0,0,0,0.0,0.0,0.0,0
2025-07-05 15:25:39,claude-3-5-sonnet-20241022,Show me the top 6 stores with highest sales in year 2024 ,"SELECT      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     s.REGION,     SUM(CAST(s.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as TOTAL_SALES FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES s WHERE s.TRANSACTION_YEAR = '2024' GROUP BY      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     s.REGION ORDER BY TOTAL_SALES DESC LIMIT 6;",1924,161,2085,0.05772,0.00966,0.06738,0
2025-07-05 15:27:02,gpt-4o,Show me the top 6 stores with highest sales in year 2024 ,"SELECT      VDS.STORE_NUMBER,     VDS.STORE_NAME,     SUM(VDS.DAILY_TOTAL_SALE) AS TOTAL_SALES FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES VDS WHERE      VDS.TRANSACTION_YEAR = '2024' GROUP BY      VDS.STORE_NUMBER,     VDS.STORE_NAME ORDER BY      TOTAL_SALES DESC LIMIT 6;",1571,99,1670,0.01571,0.00297,0.01868,1
2025-07-05 15:28:12,gpt-4o,Show me the top 6 stores with highest sales in year 2024 ,"SELECT      VDS.STORE_NUMBER,     VDS.STORE_NAME,     SUM(VDS.DAILY_TOTAL_SALE) AS TOTAL_SALES FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES VDS WHERE      VDS.TRANSACTION_YEAR = '2024' GROUP BY      VDS.STORE_NUMBER,      VDS.STORE_NAME ORDER BY      TOTAL_SALES DESC LIMIT 6;",1571,100,1671,0.01571,0.003,0.01871,1
2025-07-05 15:28:24,claude-3-5-sonnet-20241022,Show me the top 6 stores with highest sales in year 2024 ,"SELECT      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     s.REGION,     SUM(CAST(s.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as TOTAL_SALES FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES s WHERE s.TRANSACTION_YEAR = '2024' GROUP BY      s.STORE_NUM_NAME,     s.CITY,     s.STATE,     s.REGION ORDER BY TOTAL_SALES DESC LIMIT 6;",1924,161,2085,0.05772,0.00966,0.06738,1
2025-07-05 15:28:31,models/gemini-1.5-flash-latest,Show me the top 6 stores with highest sales in year 2024 ,"SELECT   T1.STORE_NAME,   SUM(T1.DAILY_TOTAL_SALE) AS TotalSales FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES AS T1 WHERE   T1.TRANSACTION_YEAR = '2024' GROUP BY   T1.STORE_NAME ORDER BY   TotalSales DESC LIMIT 6;",1709,54,1763,0.05127,0.00324,0.05451,1
2025-07-05 15:28:52,gpt-4o,Show me the top 6 stores with highest sales in year 2024 ,"SELECT      VDS.STORE_NUMBER,     VDS.STORE_NAME,     SUM(VDS.DAILY_TOTAL_SALE) AS TOTAL_SALES FROM      REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES VDS WHERE      VDS.TRANSACTION_YEAR = '2024' GROUP BY      VDS.STORE_NUMBER,      VDS.STORE_NAME ORDER BY      TOTAL_SALES DESC LIMIT 6;",1571,100,1671,0.01571,0.003,0.01871,1
2025-07-05 15:29:04,claude-3-5-sonnet-20241022,Show me the top 6 stores with highest sales in year 2024 ,"SELECT      s.STORE_NUMBER,     s.STORE_NAME,     s.CITY,     s.STATE,     SUM(CAST(s.DAILY_TOTAL_SALE AS DECIMAL(18,2))) as TOTAL_SALES FROM REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES s WHERE s.TRANSACTION_YEAR = '2024' GROUP BY      s.STORE_NUMBER,     s.STORE_NAME,     s.CITY,     s.STATE ORDER BY TOTAL_SALES DESC LIMIT 6;",1924,161,2085,0.05772,0.00966,0.06738,1
2025-07-05 15:29:14,models/gemini-1.5-flash-latest,Show me the top 6 stores with highest sales in year 2024 ,"SELECT   T1.STORE_NAME,   SUM(T1.DAILY_TOTAL_SALE::NUMBER) AS TotalSales FROM   REPORTING_UAT.GOLD_SALES.V_SMM_DAILY_SALES AS T1 WHERE   T1.TRANSACTION_YEAR = '2024' GROUP BY   T1.STORE_NAME ORDER BY   TotalSales DESC LIMIT 6;",1709,56,1765,0.05127,0.00336,0.05463,1
